"dest","count","dist","delay"
"ABQ",254,1826,4.38188976377953
"ACK",265,199,4.85227272727273
"ALB",439,143,14.3971291866029
"ANC",8,3370,-2.5
"ATL",17215,757.108219575951,11.3001128467067
"AUS",2439,1514.25297252973,6.01990875155537
"AVL",275,583.581818181818,8.00383141762452
"BDL",443,116,7.04854368932039
"BGR",375,378,8.02793296089385
"BHM",297,865.996632996633,16.8773234200744
"BNA",6333,758.213484920259,11.8124589086128
"BOS",15508,190.636961568223,2.91439222473705
"BQN",896,1578.98325892857,8.2454954954955
"BTV",2589,265.091541135574,8.95099601593625
"BUF",4681,296.808374279,8.94595185995624
"BUR",371,2465,8.17567567567568
"BWI",1781,179.418304323414,10.7267338470658
"BZN",36,1882,7.6
"CAE",116,603.551724137931,41.7641509433962
"CAK",864,397,19.6983372921615
"CHO",52,305,9.5
"CHS",2884,632.916782246879,10.5929684668358
"CLE",4573,414.17428383993,9.18161128812016
"CLT",14064,538.027303754266,7.36031885329823
"CMH",3524,476.55505107832,10.6013229104029
"CRW",138,444,14.6716417910448
"CVG",3941,575.159857904085,15.3645637583893
"DAY",1525,537.102295081967,12.6804860614725
"DCA",9705,211.006182380216,9.06695203600044
"DEN",7266,1614.67836498761,8.6065002092342
"DFW",8738,1383.04303044175,0.322126847877921
"DSM",569,1020.88752196837,19.0057361376673
"DTW",9384,498.128516624041,5.4299634591961
"EGE",213,1735.70892018779,6.30434782608696
"EYW",17,1207,6.35294117647059
"FLL",12055,1070.068768146,8.0821215432462
"GRR",765,605.781699346405,18.1895604395604
"GSO",1606,449.841843088418,14.112600536193
"GSP",849,595.959952885748,15.9354430379747
"HDN",15,1728,2.14285714285714
"HNL",707,4972.67468175389,-1.36519258202568
"HOU",2115,1420.15508274232,7.17618819011042
"IAD",5700,224.846842105263,13.8642021177782
"IAH",7198,1407.20672409003,4.24079040225829
"ILM",110,500,4.63551401869159
"IND",2077,652.262879152624,9.94043412417971
"JAC",25,1875.6,28.0952380952381
"JAX",2720,824.676102941177,11.8448341593595
"LAS",5997,2240.96148074037,0.257728494623656
"LAX",16174,2468.62235686905,0.547110944714838
"LEX",1,604,-22
"LGA",1,17,NA
"LGB",668,2465,-0.0620272314674735
"MCI",2008,1097.69521912351,14.5140583554377
"MCO",14082,943.110566680869,5.45464308727715
"MDW",4113,718.045951859956,12.3642236024845
"MEM",1789,954.201229737283,10.6453143534994
"MHT",1009,207.029732408325,14.7875536480687
"MIA",11728,1091.55243860846,0.299059777451911
"MKE",2802,733.381513204854,14.1672203765227
"MSN",572,803.954545454545,20.1960431654676
"MSP",7185,1017.40167014614,7.27016885553471
"MSY",3799,1177.70571202948,6.49017496635262
"MTJ",15,1795,1.78571428571429
"MVY",221,173,-0.285714285714286
"MYR",59,550.661016949153,4.60344827586207
"OAK",312,2576,3.07766990291262
"OKC",346,1325,30.6190476190476
"OMA",849,1135.56654888104,14.6988984088127
"ORD",17283,729.000810044552,5.87661475310878
"ORF",1536,288.5234375,10.9490934449093
"PBI",6554,1028.83811412878,8.56297209804224
"PDX",1354,2445.56573116691,5.14157973174367
"PHL",1632,94.3235294117647,10.1271901362751
"PHX",4656,2141.30326460481,2.09704732957013
"PIT",2875,334.061217391304,7.68099053168245
"PSE",365,1617,7.87150837988827
"PSP",19,2378,-12.7222222222222
"PVD",376,160,16.2346368715084
"PWM",2352,276.128401360544,11.6604020979021
"RDU",8163,426.757687124832,10.052380952381
"RIC",2454,281.404645476773,20.1112531969309
"ROC",2416,259.25082781457,11.5606446140797
"RSW",3537,1072.85326547922,3.23814962878355
"SAN",2737,2437.29923273657,3.13916574381691
"SAT",686,1578.34110787172,6.9453717754173
"SAV",804,709.18407960199,15.1295060080107
"SBN",10,645.4,6.5
"SDF",1157,645.983578219533,12.669384057971
"SEA",3923,2412.66530716289,-1.0990990990991
"SFO",13331,2577.92356162328,2.67289152053443
"SJC",329,2569,3.44817073170732
"SJU",5819,1599.83364839319,2.52052658929499
"SLC",2467,1986.98662342927,0.17625458996328
"SMF",284,2521,12.1099290780142
"SNA",825,2434,-7.86822660098522
"SRQ",1211,1044.65152766309,3.08243130724396
"STL",4339,878.723208112468,11.0784645098986
"STT",522,1626.98275862069,-3.83590733590734
"SYR",1761,205.921635434412,8.90392501464558
"TPA",7466,1003.93557460488,7.4085250338295
"TUL",315,1215,33.6598639455782
"TVC",101,652.386138613861,12.9684210526316
"TYS",631,638.809825673534,24.0692041522491
"XNA",1036,1142.50579150579,7.46572580645161
